archetype|Win-SHGC-E,archetype|Win-SHGC-N,archetype|Win-SHGC-S,archetype|Win-SHGC-W,archetype|Window-UAValue,configuration|ChoiceFile,configuration|RunDirectory,configuration|RunNumber,configuration|SaveDirectory,cost-estimates|byAttribute|Opt-Windows,cost-estimates|byAttribute|Opt-Heating-Cooling,cost-estimates|byAttribute|Opt-FoundationWallExtIns,cost-estimates|byBuildingComponent|envelope,cost-estimates|byBuildingComponent|mechanical,cost-estimates|total,input|House-ListOfUpgrades,input|Opt-FoundationWallExtIns,input|Opt-Heating-Cooling,input|Opt-Windows,output|AuxEnergyReq-HeatingGJ,output|AvgAirConditioning-COP,output|Energy-CoolingGJ,output|Energy-HeatingGJ,output|Energy-Total-GJ,output|EnergyEleckWh,output|EnergyGasM3,output|EnvAGBsemntHL-GJ,output|EnvBGBsemntHL-GJ,output|EnvBsemntFHHL-GJ,output|EnvFABsemntHL-GJ,output|EnvTotalHL-GJ,output|EnvWinHL-GJ,output|Gross-HeatLoss-GJ,output|LapsedTime,output|MEUI_kWh_m2,output|PEAK-Cooling-W,output|PEAK-Heating-W,output|SpcHeatElec-GJ,output|SpcHeatGas-GJ,output|SpcHeatHP-GJ,output|TEDI_kWh_m2,output|TotalAirConditioning-LoadGJ,output|Useful-Internal-Gain-GJ,output|Useful-Solar-Gain-GJ,output|Util-Bill-Elec,output|Util-Bill-Gas,output|Util-Bill-Net,output|Util-Bill-gross,status|H2KExecutionTime
0.184,0.186,0.186,0.184,10.69,sim-1.choices,HTAP-work-0,1,HTAP-sim-1,5973.94,4487.04,5988.099999999999,13031.63,5847.02,18878.65,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-LG-u0.85,125.2,0.0,0.0,138.8,187.8,6794.1,4385.3,6.9,0.5,4.4,26.4,125.7,8.2,125.7,1.39,182.4,2405.8,14590.8,2.4,136.4,0.0,137.2,0.0,27.8,5.7,686.05,2457.95,3144.0,3144.0,1.3901318
0.184,0.186,0.186,0.184,10.69,sim-2.choices,HTAP-work-1,2,HTAP-sim-2,5973.94,12045.59,5988.099999999999,13031.63,13405.57,26437.2,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-LG-u0.85,120.7,4.3,0.1,89.0,138.0,30884.1,721.5,6.9,28.8,4.4,6.6,154.0,8.2,154.0,1.33,127.8,1261.7,14098.3,89.0,0.0,23.0,132.4,0.7,27.7,5.6,2377.17,550.71,2927.88,2927.88,1.332168
0.184,0.186,0.186,0.184,10.69,sim-3.choices,HTAP-work-2,3,HTAP-sim-3,5973.94,31522.59,5988.099999999999,13031.63,32882.57,45914.2,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps4inEffR20,GSHP,NC-3g-LG-u0.85,120.7,4.1,0.1,37.9,86.9,16675.8,721.5,6.9,28.8,4.4,8.1,154.0,8.2,154.0,1.34,71.8,1261.7,14098.3,37.9,0.0,30.9,132.3,0.3,27.7,5.6,1379.74,550.71,1930.45,1930.45,1.3449031
0.184,0.186,0.186,0.184,10.69,sim-4.choices,HTAP-work-3,4,HTAP-sim-4,5973.94,5886.370000000001,5988.099999999999,13031.63,7246.35,20277.98,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps4inEffR20,condensing-gas-furnace,NC-3g-LG-u0.85,120.7,0.0,0.0,124.2,173.2,6770.6,3995.9,6.9,28.8,4.4,7.0,154.0,8.2,154.0,1.43,166.4,1261.7,14098.3,2.3,121.9,0.0,132.4,0.0,27.7,5.6,684.39,2255.76,2940.15,2940.15,1.4332239999999998
0.184,0.186,0.186,0.184,10.69,sim-5.choices,HTAP-work-0,5,HTAP-sim-5,5973.94,4487.04,4979.96,12023.49,5847.02,17870.510000000002,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps3inEffR15,NBC2020-gas-boiler,NC-3g-LG-u0.85,128.7,0.0,0.0,142.7,191.6,6812.5,4486.9,8.5,0.7,4.1,27.0,127.1,8.2,127.1,1.09,186.6,2431.8,14826.1,2.4,140.2,0.0,141.0,0.0,27.8,5.7,687.34,2510.72,3198.06,3198.06,1.0886977
0.184,0.186,0.186,0.184,10.69,sim-6.choices,HTAP-work-1,6,HTAP-sim-6,5973.94,12045.59,4979.96,12023.49,13405.57,25429.06,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps3inEffR15,ASHP,NC-3g-LG-u0.85,123.8,4.5,0.1,91.3,140.4,31536.4,721.5,8.5,30.6,4.1,6.7,157.0,8.2,157.0,1.02,130.4,1219.7,14304.4,91.3,0.0,23.2,135.7,0.7,27.7,5.6,2422.96,550.72,2973.68,2973.68,1.0180339
0.184,0.186,0.186,0.184,10.69,sim-7.choices,HTAP-work-2,7,HTAP-sim-7,5973.94,31522.59,4979.96,12023.49,32882.57,44906.06,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps3inEffR15,GSHP,NC-3g-LG-u0.85,123.8,4.3,0.1,38.8,87.8,16929.0,721.5,8.5,30.6,4.1,8.1,157.0,8.2,157.0,1.09,72.8,1219.7,14304.4,38.8,0.0,31.7,135.7,0.3,27.7,5.6,1397.52,550.72,1948.24,1948.24,1.0890861
0.184,0.186,0.186,0.184,10.69,sim-8.choices,HTAP-work-3,8,HTAP-sim-8,5973.94,5886.370000000001,4979.96,12023.49,7246.35,19269.84,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-LG-u0.85;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps3inEffR15,condensing-gas-furnace,NC-3g-LG-u0.85,123.8,0.0,0.0,127.4,176.3,6786.8,4079.3,8.5,30.6,4.1,7.0,157.1,8.2,157.1,1.0,169.8,1219.7,14304.4,2.4,125.0,0.0,135.7,0.0,27.7,5.6,685.53,2299.1,2984.63,2984.63,0.9951193
0.425,0.431,0.431,0.425,13.59,sim-9.choices,HTAP-work-0,9,HTAP-sim-9,4917.8,4487.04,5988.099999999999,11975.49,5847.02,17822.510000000002,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps4inEffR20,NBC2020-gas-boiler,NC-3g-HG-u1.08,121.3,0.0,0.0,134.5,183.5,6773.6,4271.8,6.9,0.5,4.4,25.8,127.9,10.4,127.9,1.12,177.7,2986.3,14773.1,2.3,132.2,0.0,133.0,0.0,27.8,11.6,684.61,2398.93,3083.54,3083.54,1.1172685
0.425,0.431,0.431,0.425,13.59,sim-10.choices,HTAP-work-1,10,HTAP-sim-10,4917.8,12045.59,5988.099999999999,11975.49,13405.57,25381.06,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps4inEffR20,ASHP,NC-3g-HG-u1.08,117.1,3.7,0.3,87.5,136.8,30543.9,721.5,6.9,28.8,4.4,6.6,156.2,10.4,156.2,1.07,126.4,1842.2,14280.6,87.5,0.0,21.8,128.4,1.4,27.7,11.3,2353.29,550.71,2904.0,2904.0,1.0678872
0.425,0.431,0.431,0.425,13.59,sim-11.choices,HTAP-work-2,11,HTAP-sim-11,4917.8,31522.59,5988.099999999999,11975.49,32882.57,44858.06,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps4inEffR20,GSHP,NC-3g-HG-u1.08,117.1,3.6,0.1,36.7,85.8,16373.0,721.4,6.9,28.8,4.4,8.0,156.2,10.4,156.2,1.09,70.6,1842.2,14280.6,36.7,0.0,30.0,128.4,0.5,27.7,11.4,1358.49,550.71,1909.2,1909.2,1.09215
0.425,0.431,0.431,0.425,13.59,sim-12.choices,HTAP-work-3,12,HTAP-sim-12,4917.8,5886.370000000001,5988.099999999999,11975.49,7246.35,19221.840000000004,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps4inEffR20;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps4inEffR20,condensing-gas-furnace,NC-3g-HG-u1.08,117.1,0.0,0.0,120.5,169.5,6751.5,3898.2,6.9,28.8,4.4,6.9,156.2,10.4,156.2,1.11,162.3,1842.2,14280.6,2.2,118.3,0.0,128.4,0.0,27.7,11.4,683.06,2204.93,2887.99,2887.99,1.1063301
0.425,0.431,0.431,0.425,13.59,sim-13.choices,HTAP-work-0,13,HTAP-sim-13,4917.8,4487.04,4979.96,10967.35,5847.02,16814.370000000003,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>NBC2020-gas-boiler;,xps3inEffR15,NBC2020-gas-boiler,NC-3g-HG-u1.08,124.6,0.0,0.0,138.2,187.1,6791.1,4368.6,8.5,0.7,4.1,25.8,129.3,10.4,129.3,1.1,181.7,3012.2,15008.4,2.4,135.8,0.0,136.6,0.0,27.8,11.6,685.84,2449.22,3135.05,3135.05,1.1003043
0.425,0.431,0.431,0.425,13.59,sim-14.choices,HTAP-work-1,14,HTAP-sim-14,4917.8,12045.59,4979.96,10967.35,13405.57,24372.92,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>ASHP;,xps3inEffR15,ASHP,NC-3g-HG-u1.08,120.2,3.7,0.3,89.9,139.2,31197.8,721.5,8.5,30.6,4.1,6.7,159.3,10.4,159.3,1.05,129.0,1800.2,14486.7,89.9,0.0,22.0,131.8,1.4,27.7,11.4,2399.19,550.72,2949.91,2949.91,1.0508164999999998
0.425,0.431,0.431,0.425,13.59,sim-15.choices,HTAP-work-2,15,HTAP-sim-15,4917.8,31522.59,4979.96,10967.35,32882.57,43849.92,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>GSHP;,xps3inEffR15,GSHP,NC-3g-HG-u1.08,120.2,3.6,0.1,37.6,86.7,16627.3,721.5,8.5,30.6,4.1,8.1,159.3,10.4,159.3,1.06,71.6,1800.2,14486.7,37.6,0.0,30.7,131.7,0.5,27.7,11.4,1376.34,550.72,1927.05,1927.05,1.0642545
0.425,0.431,0.431,0.425,13.59,sim-16.choices,HTAP-work-3,16,HTAP-sim-16,4917.8,5886.370000000001,4979.96,10967.35,7246.35,18213.7,Opt-DBFiles=>H2KCodeLibFile;Opt-ACH=>ACH_NBC;Opt-Windows=>NC-3g-HG-u1.08;Opt-AboveGradeWall=>Stud_2x6_R20;Opt-AdvancedBaseloads=>NBC2020-AdvancedBaseloads;Opt-FoundationWallExtIns=>xps3inEffR15;Opt-Ceilings=>CeilR40;Opt-VentSystem=>NBC_HRV;Opt-Heating-Cooling=>condensing-gas-furnace;,xps3inEffR15,condensing-gas-furnace,NC-3g-HG-u1.08,120.2,0.0,0.0,123.7,172.6,6767.7,3981.5,8.5,30.6,4.1,7.0,159.3,10.4,159.3,1.09,165.8,1800.2,14486.7,2.3,121.4,0.0,131.8,0.0,27.7,11.4,684.2,2248.22,2932.42,2932.42,1.0920492000000002
